acpi 1.7-3
acpi_call 1.2.1-69
acpica 20210331-1
alacarte 3.36.0+2+gae6b92d-2
alacritty 0.8.0-1
alsa-utils 1.2.5.1-1
alsi 0.4.9-1
audacity 1:2.4.1-4
autoconf 2.71-1
automake 1.16.3-1
autorandr 1.11-2
autotiling 1.5-1
awesome-terminal-fonts 1.1.0-4
bandwhich 0.20.0-1
baobab 40.0-1
base 2-2
bashtop 0.9.25-1
binutils 2.36.1-3
bison 3.7.6-1
blueman 2.1.4-1
bluez-utils 5.59-2
bridge-utils 1.7.1-1
brightnessctl 0.5.1-2
calc 2.13.0.1-2
cheese 3.38.0-1
chrome-gnome-shell 10.1-5
chromedriver 90.0.4430.24-1
cmatrix 2.0-2
corestats 4.2.0-2
cpio 2.13-2
crda 4.14-4
cups 1:2.3.3op2-3
cura 4.9.1-1
dart-sass 1.34.0-1
dconf-editor 3.38.3-1
discord 0.0.15-1
dmenu 5.0-1
downgrade 10.0.0-1
downgrader-git 2.0.0.r158.f346695-3
dunst 1.6.1-2
emptty 0.5.2-1
eog 40.2-1
epiphany 40.2-2
escrotum-git 0.2.1.r48.a41d0f1-1
evince 40.2-1
fakeroot 1.25.3-2
feh 3.7-1
file-roller 3.40.0-1
firefox 89.0.2-1
flex 2.6.4-3
font-manager 0.8.6-1
gcc 11.1.0-1
gdm 40.0-1
geary 1:40.0-3
gedit 40.1-1
gestures 0.2.6-1
git 2.32.0-1
glm 0.9.9.8-1
gnome-backgrounds 40.1-1
gnome-books 40.0-1
gnome-boxes 40.2-1
gnome-calculator 40.1-1
gnome-calendar 40.2-1
gnome-characters 40.0-1
gnome-clocks 40.0-2
gnome-color-manager 3.36.0-1
gnome-contacts 40.0-1
gnome-control-center 40.0-1
gnome-disk-utility 40.1-2
gnome-documents 3.34.0+6+g966b04ec-1
gnome-font-viewer 40.0-1
gnome-keyring 1:40.0-1
gnome-logs 3.36.0-1
gnome-maps 40.2-1
gnome-menus 3.36.0-1
gnome-music 1:40.1.1-1
gnome-photos 40.0-1
gnome-power-manager 3.32.0-2
gnome-remote-desktop 40.1-1
gnome-screenshot 40.0-2
gnome-session 40.1.1-1
gnome-settings-daemon 40.0.1-2
gnome-shell 1:40.2-1
gnome-shell-extensions 40.2-1
gnome-software 40.2-1
gnome-system-monitor 40.1-1
gnome-terminal-transparency 3.40.2-1
gnome-themes-extra 3.28-2
gnome-tweaks 40.0-1
gnome-user-docs 40.1-1
